nom;statut;type;adresse;code_postal;ville;email;telephone;site_web;latitude;longitude;saison;danses;familles_de_danses;url_fiche;slug
A CONTRETEMPS;affiliated;AFFILIATED_STRUCTURE;4 RUE DES CALINAIRES;13520;MAUSSANE LES ALPILLES;acontretemps.danse@gmail.com;0670525313;;43.724251;4.805719;2026;Contemporain | Jazz;Ateliers de création | Contemporain | Modern jazz | Jazz;https://www.ffdanse.fr/structures/5252-a-contretemps;5252-a-contretemps
A Corps Danse;affiliated;AFFILIATED_STRUCTURE;76 bis ch des Bretoux;95320;ST LEU LA FORET;acorpsdanse@laposte.net;0670302159;http://acorpsdanse95.fr/;49.0090036;2.2522464;2026;Contemporain;Ateliers de création | Contemporain;https://www.ffdanse.fr/structures/1967-a-corps-danse;1967-a-corps-danse
A corps et a travers;affiliated;AFFILIATED_STRUCTURE;2 le pont roy;18600;sancoins;assos.a.corps@gmail.com;0671595955;;46.8332056;2.8857175;2026;Assouplissement | Danse Inclusive | Eveil à la Danse;;https://www.ffdanse.fr/structures/398-a-corps-et-a-travers;398-a-corps-et-a-travers
A L'ISLE ON DANSE;affiliated;AFFILIATED_STRUCTURE;19 chemin des collines;38080;L'Isle D'Abeau;communication.alisleondanse@gmail.com;0683303924;www.alisleondanse.com;45.6245038;5.2054863;2026;Classique | Contemporain | Danse Inclusive | Eveil à la Danse | Jazz | Regards chorégraphiques | Zumba;Classique | Ateliers de création | Contemporain | Modern jazz | Jazz | Zumba;https://www.ffdanse.fr/structures/6291-a-l-isle-on-danse;6291-a-l-isle-on-danse
A Petits Pas;affiliated;AFFILIATED_STRUCTURE;71 RUE ARISTIDE BRIAND;27530;EZY SUR EURE;apetitspas27@gmail.com;0619025685;;48.8641481;1.4228423;2026;Jazz | Transversal;Modern jazz | Jazz;https://www.ffdanse.fr/structures/488-a-petits-pas;488-a-petits-pas
A&M Dance;affiliated;AFFILIATED_STRUCTURE;83 Rue du Square Fleury;34400;Lunel;contact@am-dance.fr;04 11 93 73 74;am-dance.fr;43.67445;4.135366;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Societe | Solo Team Lat / Std | Standards;Danses latines | Danses standards | Danses de salon;https://www.ffdanse.fr/structures/6279-a-m-dance;6279-a-m-dance
A'corps danse;recently_disaffiliated;UNAFFILIATED_STRUCTURE;15 RUE DU GENERAL LECLERC;02300;chauny;Acorpsdanse2015@gmail.com;0642938890;;49.6140777;3.2182057;;;;https://www.ffdanse.fr/structures/127-a-corps-danse;127-a-corps-danse
A-L' Pole Dance & Co;affiliated;AFFILIATED_STRUCTURE;Allée de la pointe, Espace Atlantique;17600;SAUJON;annelise.sport@outlook.fr;0762680540;www.a-l-pole-dance.fr;45.6672727;-0.9419337;2026;Pole Dance | Danse aérienne;Pole dance | Danses aériennes;https://www.ffdanse.fr/structures/5361-a-l-pole-dance-co;5361-a-l-pole-dance-co
A.B.C. Rock'n Roll Epinal;affiliated;AFFILIATED_STRUCTURE;48 rue thiers;88000;EPINAL;realain@wanadoo.fr;0644012949;;48.1673649;6.4513626;2026;Boogie Formation | Boogie Juniors | Boogie Main Class | Boogie Rising Star | Boogie Seniors | Boogie Woogie | Boogie Woogie Fédéral | Contemporain | Country And Line | Formation Rock Girls | Formation Rock Juniors | Formation Rock Ladies | Formation Rock Main Class | Formation Rock Main Class Quattro | Hip Hop | Lindy Hop | Lindy Hop Fédéral | Lindy Hop Junior | Lindy Hop Main Class | Lindy Hop Senior 1 | Lindy Hop Senior 2 | Lindy Hop Show case | Rock Acrobatique | Rock Acrobatique Fédéral | Rock Artistique Fédéral | Rock Children | Rock Couple Dance Show | Rock Formation | Rock Juniors | Rock Juveniles | Rock Main Class Contact Style | Rock Main Class Free Style | Rock Saute | Rock et DA | Rock'n Roll Fédéral | Rock'n'Roll | Salsa | Salsa Team Couple | Salsa Team Styling | Show Latino Caraïbe | Small Formation Rock Ladies | Small formation Rock Girls | Societe | West Coast Swing;Boogie-Woogie | Ateliers de création | Contemporain | Country & line | Danses hip-hop | Lindy hop | Rock acrobatique | Rock'n'roll | Rock sauté | Salsa | Danses latino-caraïbes | Danses de salon | West Coast Swing;https://www.ffdanse.fr/structures/1825-a-b-c-rock-n-roll-epinal;1825-a-b-c-rock-n-roll-epinal
A.C.M.I/ENTRECHATS;affiliated;AFFILIATED_STRUCTURE;9 bis Avenue Jules-Ravat;38500;VOIRON;acmi.entrechats@yahoo.com;0670040075;acmientrechats.jimdofree.com;45.3680454;5.587975;2026;Barre au Sol | Bollywood | Cabaret | Claquettes | Classique | Comedie Musicale | Contemporain | Danse Inclusive | Danse Show | Disco | Eveil à la Danse | Indienne | Jazz | New Style | Orientale | Pilates | Pole Dance | Regards chorégraphiques | Street Dance;Barre au sol classique | Barre au sol contemporaine | Danses ethniques | Cabaret | Claquettes | Classique | Comédie musicale | Ateliers de création | Contemporain | Disco | Modern jazz | Jazz | Danses hip-hop | Pole dance;https://www.ffdanse.fr/structures/4662-a-c-m-i-entrechats;4662-a-c-m-i-entrechats
A.D.A.J (Association Danse Attitude Jazz);affiliated;AFFILIATED_STRUCTURE;18, bis avenue Jean Moulin;34500;Béziers;adajecolededanse34@gmail.com;0625271594;www.adajdanse34.com;43.3495168;3.2260287;2026;Cabaret | Claquettes | Classique | Comedie Musicale | Contemporain | Eveil à la Danse | Jazz | Street Dance;Cabaret | Claquettes | Classique | Comédie musicale | Ateliers de création | Contemporain | Modern jazz | Jazz | Danses hip-hop;https://www.ffdanse.fr/structures/6181-a-d-a-j-association-danse-attitude-jazz;6181-a-d-a-j-association-danse-attitude-jazz
A.D.E.L.;affiliated;AFFILIATED_STRUCTURE;Place de l'Ourail;76500;LA LONDE;adel76danse@hotmail.fr;0629884400;;49.307054;0.9542992;2026;Classique | Contemporain | Eveil à la Danse | Jazz;Classique | Ateliers de création | Contemporain | Modern jazz | Jazz;https://www.ffdanse.fr/structures/1531-a-d-e-l;1531-a-d-e-l
A.F.R.O;affiliated;AFFILIATED_STRUCTURE;MVAC 22 RUE DEPARCIEUX;75014;Paris;a.f.r.origine14@gmail.com;0674901215;https://afro14.fr/;48.8355826;2.3257851;2026;Africaine | Hip Hop | House | New Style | Ragga | Street Dance;Danses ethniques | Danses hip-hop;https://www.ffdanse.fr/structures/4610-a-f-r-o;4610-a-f-r-o
A.I.M.E.;recently_disaffiliated;UNAFFILIATED_STRUCTURE;rue des boisseliers;30610;Sauve;intercom.aime@gmail.com;0663675052;http://www.ecolededansesauve.fr;43.943762;3.947851;;;;https://www.ffdanse.fr/structures/3467-a-i-m-e;3467-a-i-m-e
A.S.C.P.A. danse;affiliated;AFFILIATED_STRUCTURE;27 av J. F. Kennedy;33600;PESSAC;f2mp.leclub@wanadoo.fr;0556365220;;44.7964522;-0.6728484;2026;Classique | Hip Hop | Jazz;Classique | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/661-a-s-c-p-a-danse;661-a-s-c-p-a-danse
A.S.L.C. Danse;affiliated;AFFILIATED_STRUCTURE;Mairie de Flins - Parc du Château;78410;FLINS SUR SEINE;aslcdanse@gmail.com;0130957119;;0;0;2026;Jazz;Modern jazz | Jazz;https://www.ffdanse.fr/structures/1614-a-s-l-c-danse;1614-a-s-l-c-danse
A.S.P.S.;affiliated;AFFILIATED_STRUCTURE;rue de Rougeau;77176;SAVIGNY LE TEMPLE;aspsnewdance@gmail.com;0953034466;;48.5983584;2.5668642;2026;Jazz;Modern jazz | Jazz;https://www.ffdanse.fr/structures/1554-a-s-p-s;1554-a-s-p-s
A.S.V. Danse;affiliated;AFFILIATED_STRUCTURE;8 allée alfred sisley;78540;Vernouillet;frederic.daniel@ngdf.eu;0620681500;www.asvdanse.com;48.978133;1.99069;2026;Contemporain;Ateliers de création | Contemporain;https://www.ffdanse.fr/structures/1615-a-s-v-danse;1615-a-s-v-danse
A2 Danses & Loisirs;affiliated;AFFILIATED_STRUCTURE;3 avenue de la Paix, Maison M001;91420;MORANGIS;a2danse91@gmail.com;0685042727;;48.7045784;2.345959;2026;Country And Line | Dix Danses | Latines | OLD : Salsa, Bachata, Kizomba | Rock et DA | Societe | Standards | West Coast Swing;Country & line | Danses latines | Danses standards | Salsa | Bachata | Rock sauté | Danses de salon | West Coast Swing;https://www.ffdanse.fr/structures/2258-a2-danses-loisirs;2258-a2-danses-loisirs
A2JeuxDanse;recently_disaffiliated;UNAFFILIATED_STRUCTURE;5 avenue de Lasbordes;31130;Balma;a2jeuxdanse@outlook.fr;0676867619;a2jeuxdanse.fr;43.60746;1.4990415;2026;Bachata | Boogie Woogie | Lindy Hop | Rock | Rock et DA | Rock'n'Roll | Salsa;Bachata | Boogie-Woogie | Lindy hop | Rock'n'roll | Rock sauté | Salsa;https://www.ffdanse.fr/structures/2124-a2jeuxdanse;2124-a2jeuxdanse
AASS DANSE;affiliated;AFFILIATED_STRUCTURE;Centre sportif Nelson Mandela avenue Paul Langevin, BP 6;95200;SARCELLES;aassdanse@hotmail.com;0650318671;www.aassdanse.com;48.9831207;2.3834019;2026;Barre au Sol | Breaking | Classique | Contemporain | Eveil à la Danse | Hip Hop | Jazz | Krump | Locking | New Style | Poping | Ragga | Regards chorégraphiques | Street Dance;Barre au sol classique | Barre au sol contemporaine | Breaking | Classique | Ateliers de création | Contemporain | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/3149-aass-danse;3149-aass-danse
AB JAZZ EPINE DANSE;affiliated;AFFILIATED_STRUCTURE;5 rue Gambetta;85110;CHANTONNAY;abjazz.epine@gmail.com;0783608349;;46.685237;-1.0542092;2026;Contemporain | Country And Line | Jazz;Ateliers de création | Contemporain | Country & line | Modern jazz | Jazz;https://www.ffdanse.fr/structures/5276-ab-jazz-epine-danse;5276-ab-jazz-epine-danse
AB13;affiliated;AFFILIATED_STRUCTURE;250 chemin de l'anchois;13220;Châteauneuf-les-Martigues;centreab13@gmail.com;0442404243;www.centreab13.fr;43.3918254;5.1753436;2026;Autres Danses | Barre au Sol | Classique | Contemporain | Eveil à la Danse | Hip Hop | Jazz | New Style | Ragga;Barre au sol classique | Barre au sol contemporaine | Classique | Ateliers de création | Contemporain | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/311-ab13;311-ab13
ABC DANSE;affiliated;AFFILIATED_STRUCTURE;55 rue Georges Boucher;95480;Pierrelaye;abcdanse.stef@gmail.com;06.29.97.67.00;www.abcdanse.com;49.020189;2.153213;2026;Bachata | Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Rock | Rock'n'Roll | Salsa | Standards;Bachata | Danses latines | Danses standards | Rock'n'roll | Salsa;https://www.ffdanse.fr/structures/6223-abc-danse;6223-abc-danse
Abers Espace Danses;affiliated;AFFILIATED_STRUCTURE;24 rue des 3 Frères LE JEUNE;29860;PLABENNEC;abers.espace.danses@gmail.com;0672623635;;48.5038742;-4.4304757;2026;Bachata | Latines | Rock | Salsa | Societe | Standards;Bachata | Danses latines | Rock'n'roll | Salsa | Danses de salon | Danses standards;https://www.ffdanse.fr/structures/554-abers-espace-danses;554-abers-espace-danses
Abondance Mouv;recently_disaffiliated;UNAFFILIATED_STRUCTURE;13 rue de l'Hospice;59100;Roubaix;contact@abondance-mouv.fr;0665225491;https://abondance-mouv.fr;50.692304;3.1698969;;;;https://www.ffdanse.fr/structures/5414-abondance-mouv;5414-abondance-mouv
ABRASEVIC;affiliated;AFFILIATED_STRUCTURE;54 rue Jean Baptiste Pigalle;75009;PARIS;abra@abrasevic.fr;0646428686;www.abrasevic.fr;48.8810023;2.3361145;2026;Autres Danses | Autres Danses Du Monde | Danse Historique | Folklorique;Danses ethniques | Danse historique | Danses traditionnelles;https://www.ffdanse.fr/structures/1477-abrasevic;1477-abrasevic
Absolutely country St Planchers Granville;affiliated;AFFILIATED_STRUCTURE;Mairie de St Planchers 59 rue des Pommiers;50400;ST PLANCHERS;danielle.hilaire29@gmail.com;0233497891;;48.8223825;-1.5265846;2026;Autres Danses | Country And Line | ancien nom à supprimer;Country & line;https://www.ffdanse.fr/structures/1042-absolutely-country-st-planchers-granville;1042-absolutely-country-st-planchers-granville
AC Mouv'art;affiliated;AFFILIATED_STRUCTURE;159 rue du 4 septembre;77810;Thomery;acmouvart@gmail.com;0689232524;;48.4018021;2.7900208;2026;Breaking | Classique | Hip Hop | Jazz;Breaking | Classique | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/5425-ac-mouv-art;5425-ac-mouv-art
Academie de Ballet Nini Theilade;affiliated;AFFILIATED_STRUCTURE;9 petite rue des Feuillants;69001;LYON;info@academie-ballet.fr;0478305686;http://www.academie-ballet.fr;45.7695915;4.8369048;2026;Classique | Contemporain | Danse Historique | Eveil à la Danse | Folklorique | Jazz;Classique | Ateliers de création | Contemporain | Danse historique | Danses traditionnelles | Modern jazz | Jazz;https://www.ffdanse.fr/structures/1367-academie-de-ballet-nini-theilade;1367-academie-de-ballet-nini-theilade
ACADEMIE DE DANSE OZOIR;recently_disaffiliated;UNAFFILIATED_STRUCTURE;10 AV HENRI BEAUDELET, Espace Beaudelet, 77330;77330;OZOIR-LA-FERRIERE;compta.academiedanseozoir@gmail.com;0674883709;academiedanseozoir.fr;48.767301;2.690764;;;;https://www.ffdanse.fr/structures/5502-academie-de-danse-ozoir;5502-academie-de-danse-ozoir
ACADEMIE MARCEAU;recently_disaffiliated;UNAFFILIATED_STRUCTURE;23 RUE DE LA MOTTTE;35630;HEDE BAZOUGES;kda.guipel.hede@gmail.com;0766387671;;48.297284;-1.7986129;;;;https://www.ffdanse.fr/structures/4251-academie-marceau;4251-academie-marceau
ACADEMY TEMPO DANSE;affiliated;AFFILIATED_STRUCTURE;38 Rue Charles OLLIER, C/O JEAN MARC HAUCHARD;94170;LE PERREUX/MARNE;jackiebaudin@orange.fr;0607195018;ACADEMY.TEMPO.DANSE.FREE.FR;48.8421757;2.494508;2026;Dix Danses | Latines | Standards | West Coast Swing;Danses latines | Danses standards | West Coast Swing;https://www.ffdanse.fr/structures/1947-academy-tempo-danse;1947-academy-tempo-danse
Académie Arts & Expression;recently_disaffiliated;UNAFFILIATED_STRUCTURE;72 rue du Docteur Mouret;13300;Salon de Provence;arts-expression@orange.fr;0603164950;;43.6397748;5.0897839;;;;https://www.ffdanse.fr/structures/4150-academie-arts-expression;4150-academie-arts-expression
Académie danse sportive dromoise;affiliated;AFFILIATED_STRUCTURE;4 rue Félix Grégoire;26200;Montélimar;academie.dsd@gmail.com;0618781667;;44.5596962;4.7385847;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Show Dance Latine | Show Dance Standard | Solo Team Lat / Std | Standards;Danses latines | Danses standards;https://www.ffdanse.fr/structures/4167-academie-danse-sportive-dromoise;4167-academie-danse-sportive-dromoise
Académie de danse Ambarésienne;affiliated;AFFILIATED_STRUCTURE;13 CLOS DES CHANTERELLES;33440;Ambarès-et-Lagrave;ada.evasion@gmail.com;0612364731;https://www.academiededanseambaresienne.org;44.9198025;-0.5041237;2026;Autres Danses | Classique | Contemporain | Eveil à la Danse | Hip Hop | Jazz;Classique | Ateliers de création | Contemporain | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/679-academie-de-danse-ambaresienne;679-academie-de-danse-ambaresienne
Académie de Danse Daniela Gihr;affiliated;AFFILIATED_STRUCTURE;17, rue du Général de Gaulle, l'Académie de Danse Daniela Gihr;67710;Wangenbourg;danielagihr@gmail.com;0687723522;https://www.academie-daniela-gihr.fr;48.6236472;7.3069833;2026;Barre au Sol | Cabaret | Classique | Comedie Musicale | Contemporain | Danse Historique | Danse aérienne | Danses Solo | Eveil à la Danse | Folklorique | Jazz | Regards chorégraphiques;Barre au sol classique | Barre au sol contemporaine | Cabaret | Classique | Comédie musicale | Ateliers de création | Contemporain | Danse historique | Danses aériennes | Danses traditionnelles | Modern jazz | Jazz;https://www.ffdanse.fr/structures/4912-academie-de-danse-daniela-gihr;4912-academie-de-danse-daniela-gihr
Académie de danse Tous en Scène;affiliated;AFFILIATED_STRUCTURE;22 rue Paul Brousse, 34070;34000;Montpellier;academiedansetousenscene@gmail.com;0622437377;www.academiedansetousenscene@gmail.com;43.6068697;3.8744267;2026;Barre au Sol | Classique | Contemporain | Eveil à la Danse | Jazz | Regards chorégraphiques | Street Dance;Barre au sol classique | Barre au sol contemporaine | Classique | Ateliers de création | Contemporain | Modern jazz | Jazz | Danses hip-hop;https://www.ffdanse.fr/structures/6361-academie-de-danse-tous-en-scene;6361-academie-de-danse-tous-en-scene
Accesdanse;recently_disaffiliated;UNAFFILIATED_STRUCTURE;39 rue du Président de Gaulle;85400;LUCON;ada.lucon@free.fr;0675001691;;46.4555582;-1.1725082;;;;https://www.ffdanse.fr/structures/1770-accesdanse;1770-accesdanse
Accor'Danses;affiliated;AFFILIATED_STRUCTURE;40 Rue du Professeur Jean Bernard;73100;AIX-LES-BAINS;accordanses73100@gmail.com;0624994246;;45.685237;5.9236809;2026;Societe;Danses de salon;https://www.ffdanse.fr/structures/2079-accor-danses;2079-accor-danses
ACCRO COUNTRY;affiliated;AFFILIATED_STRUCTURE;13 Rue du Sirocco;30133;Les Angles;accrocountry@gmail.com;0648344647;https://arnaudmarraffa.wixsite.com/arnaudmarraffa;43.9587862;4.7520823;2026;Country And Line;Country & line;https://www.ffdanse.fr/structures/4683-accro-country;4683-accro-country
ACCRO' POLE STUDIO;affiliated;AFFILIATED_STRUCTURE;18 rue de Belfort;25000;Besançon;studioaccropole@gmail.com;0650236312;www.accropolestudio.fr;47.2469725;6.0271986;2026;Pole Dance;Pole dance;https://www.ffdanse.fr/structures/3179-accro-pole-studio;3179-accro-pole-studio
ACDGHR;affiliated;AFFILIATED_STRUCTURE;chez madame Véronique Martin 82 rue de la République;60600;CLERMONT;acdghr@orange.fr;0609345661;;49.377977;2.4156775;2026;Classique | Contemporain | Jazz;Classique | Ateliers de création | Contemporain | Modern jazz | Jazz;https://www.ffdanse.fr/structures/1197-acdghr;1197-acdghr
ACE DANSE;recently_disaffiliated;UNAFFILIATED_STRUCTURE;4 RUE DE LA COOPERATIVE;13630;EYRAGUES;acedanse@gmail.com;0650147467;;43.8398079;4.8390275;;;;https://www.ffdanse.fr/structures/4244-ace-danse;4244-ace-danse
ACHVB;affiliated;AFFILIATED_STRUCTURE;13 rue de Montfort;35160;BRETEIL;achvb.presidence@gmail.com;0661861422;;48.1453104;-1.8994376;2026;Contemporain | Jazz | Societe;Ateliers de création | Contemporain | Modern jazz | Jazz | Danses de salon;https://www.ffdanse.fr/structures/817-achvb;817-achvb
Acore;recently_disaffiliated;UNAFFILIATED_STRUCTURE;4 rue de quincampoix;35460;Montours;compagnieacore@gmail.com;0688761851;;48.441142;-1.3084919;;;;https://www.ffdanse.fr/structures/820-acore;820-acore
Acore Fougeres;affiliated;AFFILIATED_STRUCTURE;44 rue de l’écartelée;35300;Fougeres;acorefougeres@gmail.com;0680239385;;48.3431854;-1.1845705;2026;Barre au Sol | Jazz | Street Dance | Jazz duo | Jazz groupe;Barre au sol classique | Barre au sol contemporaine | Modern jazz | Jazz | Danses hip-hop;https://www.ffdanse.fr/structures/6056-acore-fougeres;6056-acore-fougeres
Acorps;recently_disaffiliated;UNAFFILIATED_STRUCTURE;Rue de la Place;34390;Olargues;andersen.ghisailne@orange.fr;0467978160;;43.556679;2.913381;;;;https://www.ffdanse.fr/structures/4177-acorps;4177-acorps
Acro'swing;recently_disaffiliated;UNAFFILIATED_STRUCTURE;134 Rue de Chevilly;94240;L'Haÿ-les-Roses;sylvain.aurat@gmail.com;0678811500;;48.7739887;2.349977;;;;https://www.ffdanse.fr/structures/1941-acro-swing;1941-acro-swing
Action danse et forme;affiliated;AFFILIATED_STRUCTURE;Centre Culturel - rue Pons;83150;BANDOL;grail@hotmail.fr;0494293735;;43.1359629;5.7533316;2026;Autres Danses | Contemporain | Hip Hop | Jazz | Zumba;Ateliers de création | Contemporain | Danses hip-hop | Modern jazz | Jazz | Zumba;https://www.ffdanse.fr/structures/1675-action-danse-et-forme;1675-action-danse-et-forme
ACVI;affiliated;AFFILIATED_STRUCTURE;23 rue Mendes France;83136;Garéoult;acvi83@gmail.com;0688126374;https://www.acvi83.fr/;43.3273894;6.0488735;2026;Afro-contemporaine | Country And Line;Afro-jazz | Country & line;https://www.ffdanse.fr/structures/3596-acvi;3596-acvi
AD ASTRA;affiliated;AFFILIATED_STRUCTURE;LA CROIX FOURCHE;33330;SAINT SULPICE DE FALEYRENS;cdj33@hotmail.fr;0610840397;;44.8693219;-0.187969;2026;Classique | Contemporain | Dix Danses | Jazz | Latines | Standards;Classique | Ateliers de création | Contemporain | Danses latines | Danses standards | Modern jazz | Jazz;https://www.ffdanse.fr/structures/2505-ad-astra;2505-ad-astra
ADAGE;recently_disaffiliated;UNAFFILIATED_STRUCTURE;29 RUE TOMBE L'OLY, 33000;33000;Bordeaux;adage@adage33.fr;0556313032;www.adage33.fr;44.8324361;-0.5746885;2026;Barre au Sol | Breaking | Classique | Contemporain | Eveil à la Danse | Hip Hop | House | Jazz | Locking | New Style | Poping | Ragga | Regards chorégraphiques | Street Dance;Barre au sol classique | Barre au sol contemporaine | Breaking | Classique | Ateliers de création | Contemporain | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/4133-adage;4133-adage
ADAGES;affiliated;AFFILIATED_STRUCTURE;RUE YVES MONTAND, ESCAUTPONT;59278;ESCAUTPONT;catmousse@live.fr;06/14719228;;50.4220907;3.5622185;2026;Classique | Jazz;Classique | Modern jazz | Jazz;https://www.ffdanse.fr/structures/5548-adages;5548-adages
ADAGIO;affiliated;AFFILIATED_STRUCTURE;Maison des associations 7 place du petit Martroy;95300;PONTOISE;adagio.danse@gmail.com;0660081201;www.adagio-danse.fr;49.0508925;2.0965349;2026;Autres Danses | Breaking | Classique | Contemporain | Eveil à la Danse | Hip Hop | House | Jazz | Street Dance | Transversal | Zumba;Breaking | Classique | Ateliers de création | Contemporain | Danses hip-hop | Modern jazz | Jazz | Zumba;https://www.ffdanse.fr/structures/1960-adagio;1960-adagio
ADAMIC;recently_disaffiliated;UNAFFILIATED_STRUCTURE;27 avenue Victoire LAFLEUR;98800;NOUMEA;direction@adamic-nc.org;+687 282629;;-22.2741288;166.4444796;;;;https://www.ffdanse.fr/structures/6038-adamic;6038-adamic
ADASAP;affiliated;AFFILIATED_STRUCTURE;ADASAP Espace AVEL VOR 135 ROUTE SANTIK BENEAT;29470;PLOUGASTEL DAOULAS;adasap29@gmail.com;0679946683;https://adasap.assoconnect.com;48.3707825;-4.3642973;2026;Barre au Sol | Breaking | Classique | Contemporain | Danses Solo | Eveil à la Danse | Jazz | Regards chorégraphiques;Barre au sol classique | Barre au sol contemporaine | Breaking | Classique | Ateliers de création | Contemporain | Modern jazz | Jazz;https://www.ffdanse.fr/structures/546-adasap;546-adasap
Adcdanse;recently_disaffiliated;UNAFFILIATED_STRUCTURE;65 boulevard côte blatin;63000;Clermont Ferrand;contact@adcdanse.fr;0664252637;http://adcdanse.fr;45.7681306;3.0888945;;;;https://www.ffdanse.fr/structures/3171-adcdanse;3171-adcdanse
